NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;--;;;0.0000;0.0000;163;0.0000;9129;32;0.9719;30;5;3;101;62;86;2;9025;29;942;1312
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;Si;;;247.0530;110.1150;78;11087.7391;7027;827;1.6623;34;0;7;54;24;58;24;4367;566;70;116
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;No;96.9514;0.893215;108.5421;48.4648;3752;1647.1584;91676;35842;3.6895;393;89;74;1730;2022;1814;2028;73320;30813;64109;119349
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;No;98.258;0.860794;114.1481;49.6532;3844;1677.7848;92466;37423;3.6876;423;90;71;1746;2098;1805;2108;73951;32160;63851;132990
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;--;;;0.0000;0.0000;173;0.0000;9251;34;1.0899;28;5;3;111;62;97;3;9145;30;957;1379
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;Si;;;268.2289;114.3502;81;12294.7695;7866;843;1.5522;35;0;9;50;31;54;31;4916;560;86;132
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;No;99.1171;0.829103;119.5474;50.9061;3941;1699.9634;93221;38385;3.7117;433;103;75;1781;2160;1842;2147;74349;33122;62622;148556
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;--;;;0.0000;0.0000;165;0.0000;9146;33;1.1023;30;5;2;108;57;97;3;9043;29;940;1456
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;Si;;;266.8172;128.4675;91;13151.6905;8476;840;1.5763;34;0;11;68;23;70;23;5349;551;78;137
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;--;;;0.0000;0.0000;178;0.0000;9054;30;1.2263;27;6;2;116;62;108;2;8944;26;937;1432
